	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
40	D50_iron_deficiency_anaemia	Iron deficiency anemia	HP:0001891	37262146	UKB	444817.0	EUR	Population CC	Mixed Q/CC	585	d50_iron_deficiency_anaemia	iron deficiency anemia	d50_iron_deficiency_anaemia	iron deficiency anemia	Iron deficiency anemia	HP_0001891
41	SCZD	schizophrenia	MONDO:0005090	32415273	SCZD	6135.0	EUR	Ascertained CC	Only SCZ	600	sczd	schizophrenia	schizophrenia (sczd)	schizophrenia	schizophrenia	MONDO_0005090
42	Other meniscus derangements (multiple sites	endometriosis	EFO:0001065	34375979	UKB	281104.0	EUR	Population CC/Q		611	other meniscus derangements (multiple sites	endometriosis	other meniscus derangements (multiple sites	endometriosis	endometriosis	EFO_0001065
43	Trunk_fat_mass	fat body mass	EFO:0005409	37262146	UKB	414491.0	EUR	Population Q	Mixed Q/CC	625	trunk_fat_mass	fat body mass	trunk_fat_mass	fat body mass	fat pad mass	OBA_0004528
44	Rheumatoid arthritis| unspecified (multiple sites	rheumatoid arthritis	EFO:0000685	34375979	UKB	281104.0	EUR	Population CC/Q		640	rheumatoid arthritis| unspecified (multiple sites	rheumatoid arthritis	rheumatoid arthritis| unspecified (multiple sites	rheumatoid arthritis	rheumatoid arthritis	EFO_0000685
45	Waist	waist circumference	EFO:0004342	31367044	Finnish	19226.0	EUR	Population Q		643	waist	waist circumference	waist	waist circumference	waist circumference	OBA_1001085
46	Hypothyroidism|myxoedema	hypothyroidism	EFO:0004705	34375979	UKB	281104.0	EUR	Population CC/Q		650	hypothyroidism|myxoedema	hypothyroidism	hypothyroidism|myxoedema	hypothyroidism	hypothyroidism	EFO_0004705
47	Leg_fat_mass_right	fat body mass	EFO:0005409	37262146	UKB	414728.0	EUR	Population Q	Mixed Q/CC	687	leg_fat_mass_right	fat body mass	leg_fat_mass_right	fat body mass	fat pad mass	OBA_0004528
48	Leg_fat_percentage_right	body fat percentage	EFO:0007800	37262146	UKB	414734.0	EUR	Population Q	Mixed Q/CC	688	leg_fat_percentage_right	body fat percentage	leg_fat_percentage_right	body fat percentage	body fat percentage	EFO_0007800
49	Malabsorption|coeliac disease	celiac disease	EFO:0001060	34375979	UKB	281104.0	EUR	Population CC/Q		701	malabsorption|coeliac disease	celiac disease	malabsorption|coeliac disease	celiac disease	celiac disease	EFO_0001060
50	Platelet_count	platelet count	EFO:0004309	37262146	UKB	409927.0	EUR	Population Q	Mixed Q/CC	728	platelet_count	platelet count	platelet_count	platelet count	platelet count	EFO_0004309
51	Pulse_rate_automated_reading	heart rate	EFO:0004326	37262146	UKB	395562.0	EUR	Population Q	Mixed Q/CC	749	pulse_rate_automated_reading	heart rate	pulse_rate_automated_reading	heart rate	heart rate	OBA_1001087
52	Splenomegalnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		756	splenomegalnot elsewhere classified	cardiomyopathy	splenomegalnot elsewhere classified	cardiomyopathy	cardiomyopathy	EFO_0000318
53	Tuberculosis (tb	pulmonary tuberculosis	EFO:1000049	34375979	UKB	281104.0	EUR	Population CC/Q		800	tuberculosis (tb	pulmonary tuberculosis	tuberculosis (tb	pulmonary tuberculosis	pulmonary tuberculosis	EFO_1000049
54	Volume of non wm hypointensities whole brain (26529)	whole-brain volume	EFO:0005089	34662886	UKB	454787.0	EUR	Population Q	Separate File	817	volume of non wm hypointensities whole brain (26529)	whole-brain volume	volume of non wm hypointensities whole brain (26529)	whole-brain volume	whole-brain volume	EFO_0005089
55	Heel_bone_mineral_density_bmd_t_score_automated	heel bone mineral density	EFO:0009270	37262146	UKB	235897.0	EUR	Population Q	Mixed Q/CC	822	heel_bone_mineral_density_bmd_t_score_automated	heel bone mineral density	heel_bone_mineral_density_bmd_t_score_automated	heel bone mineral density	heel bone mineral density	EFO_0009270
56	Severe cervical dnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		827	severe cervical dnot elsewhere classified	cardiomyopathy	severe cervical dnot elsewhere classified	cardiomyopathy	cardiomyopathy	EFO_0000318
57	Eosinophill_count	granulocyte count	EFO:0007987	37262146	UKB	409154.0	EUR	Population Q	Mixed Q/CC	867	eosinophill_count	granulocyte count	eosinophill_count	granulocyte count	granulocyte count	EFO_0007987
58	Tinnitus | tiniitis	Tinnitus	HP:0000360	34375979	UKB	281104.0	EUR	Population CC/Q		889	tinnitus | tiniitis	tinnitus	tinnitus | tiniitis	tinnitus	tinnitus	HP_0000360
59	Valgus deformitnot elsewhere classified	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		908	valgus deformitnot elsewhere classified	cardiomyopathy	valgus deformitnot elsewhere classified	cardiomyopathy	cardiomyopathy	EFO_0000318
60	Mitral (valve prolapse	Mitral valve prolapse	HP:0001634	34375979	UKB	281104.0	EUR	Population CC/Q		909	mitral (valve prolapse	mitral valve prolapse	mitral (valve prolapse	mitral valve prolapse	Mitral valve prolapse	HP_0001634
61	Eosinophill count (30150)	granulocyte count	EFO:0007987	34662886	UKB	454787.0	EUR	Population Q	Separate File	914	eosinophill count (30150)	granulocyte count	eosinophill count (30150)	granulocyte count	granulocyte count	EFO_0007987
62	Observation for other suspected cardiovascular diseases	cardiovascular disease	EFO:0000319	34375979	UKB	281104.0	EUR	Population CC/Q		933	observation for other suspected cardiovascular diseases	cardiovascular disease	observation for other suspected cardiovascular diseases	cardiovascular disease	cardiovascular disease	EFO_0000319
63	Crohn's disease [regional enteritis])	Crohn's disease	EFO:0000384	34375979	UKB	281104.0	EUR	Population CC/Q		957	crohn's disease [regional enteritis])	crohn's disease	crohn's disease [regional enteritis])	crohn's disease	crohn's disease	EFO_0000384
64	Irritable bowel swith diarrhoea	irritable bowel syndrome	EFO:0000555	34375979	UKB	281104.0	EUR	Population CC/Q		961	irritable bowel swith diarrhoea	irritable bowel syndrome	irritable bowel swith diarrhoea	irritable bowel syndrome	irritable bowel syndrome	EFO_0000555
65	Biochemistry Glucose	glucose	CHEBI:17234	34226706	UKB	400458.0	EUR	Population Q		1045	biochemistry glucose	glucose	biochemistry glucose	glucose	glucose measurement	EFO_0004468
66	Seronegative rheumatoid arthritis (site unspecified	rheumatoid arthritis	EFO:0000685	34375979	UKB	281104.0	EUR	Population CC/Q		1049	seronegative rheumatoid arthritis (site unspecified	rheumatoid arthritis	seronegative rheumatoid arthritis (site unspecified	rheumatoid arthritis	rheumatoid arthritis	EFO_0000685
67	Lymphocyte_count	lymphocyte count	EFO:0004587	37262146	UKB	409154.0	EUR	Population Q	Mixed Q/CC	1060	lymphocyte_count	lymphocyte count	lymphocyte_count	lymphocyte count	lymphocyte count	EFO_0004587
68	Other iron deficiencanaemias	Iron deficiency anemia	HP:0001891	34375979	UKB	281104.0	EUR	Population CC/Q		1097	other iron deficiencanaemias	iron deficiency anemia	other iron deficiencanaemias	iron deficiency anemia	Iron deficiency anemia	HP_0001891
69	Systolic_blood_pressure_automated_reading	systolic blood pressure	EFO:0006335	37262146	UKB	386579.0	EUR	Population Q	Mixed Q/CC	1118	systolic_blood_pressure_automated_reading	systolic blood pressure	systolic_blood_pressure_automated_reading	systolic blood pressure	systolic blood pressure	EFO_0006335
70	Large bowel cancer|colorectal cancer	colorectal cancer	EFO:0005842	34375979	UKB	281104.0	EUR	Population CC/Q		1155	large bowel cancer|colorectal cancer	colorectal cancer	large bowel cancer|colorectal cancer	colorectal cancer	colorectal cancer	MONDO_0005575
71	LDL direct	LDL cholesterol	EFO:0004195	31992710	UKB	46850.0	EUR	Population Q	Mixed Q/CC	1215	ldl direct	ldl cholesterol	low density lipoprotein (ldl) direct	low density lipoprotein (ldl) cholesterol	low density lipoprotein cholesterol measurement	EFO_0004611
72	Blood PLATELET COUNT	platelet count	EFO:0004309	34226706	UKB	444866.0	EUR	Population Q		1231	blood platelet count	platelet count	blood platelet count	platelet count	platelet count	EFO_0004309
73	CRP measurement	C-reactive protein measurement	EFO:0004458	31367044	Finnish	17927.0	EUR	Population Q		1239	crp measurement	c-reactive protein measurement	c-reactive protein (crp) measurement	c-reactive protein measurement	c-reactive protein measurement	EFO_0004458
74	Cardiovascular disease risk	cardiovascular disease	EFO:0000319	25187575	NHLBI-ESP,CHARGE	9159.0	EUR, AFR	Population Q		1240	cardiovascular disease risk	cardiovascular disease	cardiovascular disease risk	cardiovascular disease	cardiovascular disease	EFO_0000319
75	Polin diseases classified elsewhere	cardiomyopathy	EFO:0000318	34375979	UKB	281104.0	EUR	Population CC/Q		1249	polin diseases classified elsewhere	cardiomyopathy	polin diseases classified elsewhere	cardiomyopathy	cardiomyopathy	EFO_0000318
76	Deladeliverafter spontaneous or unspecified rupture of membranes	Premature rupture of membranes	HP:0001788	34375979	UKB	281104.0	EUR	Population CC/Q		1261	deladeliverafter spontaneous or unspecified rupture of membranes	premature rupture of membranes	deladeliverafter spontaneous or unspecified rupture of membranes	premature rupture of membranes	spontaneous preterm birth	EFO_0006917
77	Spinal stenosis (cervical region	spinal stenosis	EFO:0007490	34375979	UKB	281104.0	EUR	Population CC/Q		1281	spinal stenosis (cervical region	spinal stenosis	spinal stenosis (cervical region	spinal stenosis	spinal stenosis	EFO_0007490
78	Rubella [german measles])	rubella	EFO:1002026	34375979	UKB	281104.0	EUR	Population CC/Q		1283	rubella [german measles])	rubella	rubella [german measles])	rubella	susceptibility to rubella infection measurement	EFO_0008418
79	Neutrophill_count	granulocyte count	EFO:0007987	37262146	UKB	409154.0	EUR	Population Q	Mixed Q/CC	1287	neutrophill_count	granulocyte count	neutrophill_count	granulocyte count	granulocyte count	EFO_0007987
80	Pulse rate (uk biobank)	heart rate	EFO:0004326	32424355	UKB	385365.0	EUR	Population Q	Mixed Q/CC; Has heritability	1305	pulse rate (uk biobank)	heart rate	pulse rate (uk biobank)	heart rate	heart rate	OBA_1001087
81	Iron deficiencanaemia	Iron deficiency anemia	HP:0001891	34375979	UKB	281104.0	EUR	Population CC/Q		1332	iron deficiencanaemia	iron deficiency anemia	iron deficiencanaemia	iron deficiency anemia	Iron deficiency anemia	HP_0001891
82	Chronic obstructive airwadisease|copd	chronic obstructive pulmonary disease	EFO:0000341	34375979	UKB	281104.0	EUR	Population CC/Q		1343	chronic obstructive airwadisease|copd	chronic obstructive pulmonary disease	chronic obstructive airwadisease|copd	chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	EFO_0000341
83	Influenand pneumonia	pneumonia	EFO:0003106	34375979	UKB	281104.0	EUR	Population CC/Q		1381	influenand pneumonia	pneumonia	influenand pneumonia	pneumonia	pneumonia	EFO_0003106
84	Essential (primary hypertension	essential hypertension	MONDO:0001134	34375979	UKB	281104.0	EUR	Population CC/Q		1386	essential (primary hypertension	essential hypertension	essential (primary hypertension	essential hypertension	essential hypertension	MONDO_0001134
85	Adenocarcinoma| nos	adenocarcinoma	EFO:0000228	34375979	UKB	281104.0	EUR	Population CC/Q		1414	adenocarcinoma| nos	adenocarcinoma	adenocarcinoma| nos	adenocarcinoma	lung adenocarcinoma	EFO_0000571
86	Predominantlallergic asthma	asthma	MONDO:0004979	34375979	UKB	281104.0	EUR	Population CC/Q		1443	predominantlallergic asthma	asthma	predominantlallergic asthma	asthma	asthma	MONDO_0004979
87	J45_asthma	asthma	MONDO:0004979	37262146	UKB	481496.0	EUR	Population Q	Mixed Q/CC	1446	j45_asthma	asthma	j45_asthma	asthma	asthma	MONDO_0004979
88	Spinal stenosis (lumbar region	spinal stenosis	EFO:0007490	34375979	UKB	281104.0	EUR	Population CC/Q		1459	spinal stenosis (lumbar region	spinal stenosis	spinal stenosis (lumbar region	spinal stenosis	spinal stenosis	EFO_0007490
89	Blood BASOPHIL COUNT	basophil count	EFO:0005090	34226706	UKB	438607.0	EUR	Population Q		1462	blood basophil count	basophil count	blood basophil count	basophil count	basophil count	EFO_0005090
90	E00_e07_disorders_of_thyroid_gland	thyroid disease	EFO:1000627	37262146	UKB	460173.0	EUR	Population Q	Mixed Q/CC	1476	e00_e07_disorders_of_thyroid_gland	thyroid disease	e00_e07_disorders_of_thyroid_gland	thyroid disease	thyroid disease	EFO_1000627
91	Traumatic subarachnoid haemorrhage (without open intracranial wound	subarachnoid hemorrhage	EFO:0000713	34375979	UKB	281104.0	EUR	Population CC/Q		1490	traumatic subarachnoid haemorrhage (without open intracranial wound	subarachnoid hemorrhage	traumatic subarachnoid haemorrhage (without open intracranial wound	subarachnoid hemorrhage	subarachnoid hemorrhage	EFO_0000713
92	Bph | benign prostatic hypertrophy	benign prostatic hyperplasia	EFO:0000284	34375979	UKB	281104.0	EUR	Population CC/Q		1493	bph | benign prostatic hypertrophy	benign prostatic hyperplasia	bph | benign prostatic hypertrophy	benign prostatic hyperplasia	benign prostatic hyperplasia	EFO_0000284
93	Diverticular disease|diverticulitis	diverticular disease	EFO:0009959	34375979	UKB	281104.0	EUR	Population CC/Q		1496	diverticular disease|diverticulitis	diverticular disease	diverticular disease|diverticulitis	diverticular disease	diverticular disease	EFO_0009959
94	Bipolar affective disorder| current episode manic without pssymptoms	bipolar disorder	MONDO:0004985	34375979	UKB	281104.0	EUR	Population CC/Q		1533	bipolar affective disorder| current episode manic without pssymptoms	bipolar disorder	bipolar affective disorder| current episode manic without pssymptoms	bipolar disorder	bipolar disorder	MONDO_0004985
95	Vascular|heart problems diagnosed bdoctor| stroke	stroke	EFO:0000712	34375979	UKB	281104.0	EUR	Population CC/Q		1536	vascular|heart problems diagnosed bdoctor| stroke	stroke	vascular|heart problems diagnosed bdoctor| stroke	stroke	stroke	EFO_0000712
96	Aggregation of activated platelets	platelet aggregation	GO:0070527	34131117	TOPMed	3855.0	EUR, AFR	Ascertained Q		1538	aggregation of activated platelets	platelet aggregation	aggregation of activated platelets	platelet aggregation	platelet aggregation	GO_0070527
97	Other specified inflammatorliver diseases	cardiovascular disease	EFO:0000319	34375979	UKB	281104.0	EUR	Population CC/Q		1541	other specified inflammatorliver diseases	cardiovascular disease	other specified inflammatorliver diseases	cardiovascular disease	cardiovascular disease	EFO_0000319
98	Gastritis|gastric erosions	gastritis	EFO:0000217	34375979	UKB	281104.0	EUR	Population CC/Q		1557	gastritis|gastric erosions	gastritis	gastritis|gastric erosions	gastritis	gastritis	EFO_0000217
99	Acute appendicitis with localiperitonitis	appendicitis	EFO:0007149	34375979	UKB	281104.0	EUR	Population CC/Q		1571	acute appendicitis with localiperitonitis	appendicitis	acute appendicitis with localiperitonitis	appendicitis	appendicitis	EFO_0007149
100	WHR	waist-hip ratio	EFO:0004343	31367044	Finnish	19224.0	EUR	Population Q		1573	whr	waist-hip ratio	waist hip ratio (whr)	waist-hip ratio	waist-hip ratio	EFO_0004343
101	M81_osteoporosis_without_pathological_fracture	osteoporosis	EFO:0003882	37262146	UKB	439479.0	EUR	Population CC	Mixed Q/CC	1634	m81_osteoporosis_without_pathological_fracture	osteoporosis	m81_osteoporosis_without_pathological_fracture	osteoporosis	osteoporosis	EFO_0003882
